,VCF0009z,VCF0004,VCF0706,VCF0707,VCF0708,VCF0301
0,1.0,1948.0,1. Democrat,,,
1,1.0,1948.0,2. Republican,,,
2,1.0,1948.0,1. Democrat,,,
3,1.0,1948.0,2. Republican,,,
4,1.0,1948.0,1. Democrat,,,
5,1.0,1948.0,2. Republican,,,
6,1.0,1948.0,2. Republican,,,
7,1.0,1948.0,1. Democrat,,,
8,1.0,1948.0,2. Republican,,,
9,1.0,1948.0,1. Democrat,,,
10,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
11,1.0,1948.0,2. Republican,,,
12,1.0,1948.0,2. Republican,,,
13,1.0,1948.0,1. Democrat,,,
14,1.0,1948.0,2. Republican,,,
15,1.0,1948.0,2. Republican,,,
16,1.0,1948.0,2. Republican,,,
17,1.0,1948.0,1. Democrat,,,
18,1.0,1948.0,2. Republican,,,
19,1.0,1948.0,1. Democrat,,,
20,1.0,1948.0,1. Democrat,,,
21,1.0,1948.0,1. Democrat,,,
22,1.0,1948.0,2. Republican,,,
23,1.0,1948.0,1. Democrat,,,
24,1.0,1948.0,2. Republican,,,
25,1.0,1948.0,2. Republican,,,
26,1.0,1948.0,1. Democrat,,,
27,1.0,1948.0,2. Republican,,,
28,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
29,1.0,1948.0,2. Republican,,,
30,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
31,1.0,1948.0,2. Republican,,,
32,1.0,1948.0,2. Republican,,,
33,1.0,1948.0,2. Republican,,,
34,1.0,1948.0,2. Republican,,,
35,1.0,1948.0,2. Republican,,,
36,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
37,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
38,1.0,1948.0,2. Republican,,,
39,1.0,1948.0,1. Democrat,,,
40,1.0,1948.0,2. Republican,,,
41,1.0,1948.0,1. Democrat,,,
42,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
43,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
44,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
45,1.0,1948.0,1. Democrat,,,
46,1.0,1948.0,2. Republican,,,
47,1.0,1948.0,2. Republican,,,
48,1.0,1948.0,1. Democrat,,,
49,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
50,1.0,1948.0,1. Democrat,,,
51,1.0,1948.0,1. Democrat,,,
52,1.0,1948.0,1. Democrat,,,
53,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
54,1.0,1948.0,1. Democrat,,,
55,1.0,1948.0,1. Democrat,,,
56,1.0,1948.0,1. Democrat,,,
57,1.0,1948.0,2. Republican,,,
58,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
59,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
60,1.0,1948.0,1. Democrat,,,
61,1.0,1948.0,1. Democrat,,,
62,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
63,1.0,1948.0,,,,
64,1.0,1948.0,2. Republican,,,
65,1.0,1948.0,1. Democrat,,,
66,1.0,1948.0,1. Democrat,,,
67,1.0,1948.0,1. Democrat,,,
68,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
69,1.0,1948.0,1. Democrat,,,
70,1.0,1948.0,2. Republican,,,
71,1.0,1948.0,1. Democrat,,,
72,1.0,1948.0,2. Republican,,,
73,1.0,1948.0,2. Republican,,,
74,1.0,1948.0,1. Democrat,,,
75,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
76,1.0,1948.0,1. Democrat,,,
77,1.0,1948.0,2. Republican,,,
78,1.0,1948.0,2. Republican,,,
79,1.0,1948.0,2. Republican,,,
80,1.0,1948.0,1. Democrat,,,
81,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
82,1.0,1948.0,1. Democrat,,,
83,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
84,1.0,1948.0,2. Republican,,,
85,1.0,1948.0,2. Republican,,,
86,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
87,1.0,1948.0,2. Republican,,,
88,1.0,1948.0,2. Republican,,,
89,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
90,1.0,1948.0,1. Democrat,,,
91,1.0,1948.0,2. Republican,,,
92,1.0,1948.0,1. Democrat,,,
93,1.0,1948.0,2. Republican,,,
94,1.0,1948.0,2. Republican,,,
95,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
96,1.0,1948.0,1. Democrat,,,
97,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
98,1.0,1948.0,2. Republican,,,
99,1.0,1948.0,1. Democrat,,,
100,1.0,1948.0,2. Republican,,,
101,1.0,1948.0,1. Democrat,,,
102,1.0,1948.0,1. Democrat,,,
103,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
104,1.0,1948.0,2. Republican,,,
105,1.0,1948.0,2. Republican,,,
106,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
107,1.0,1948.0,1. Democrat,,,
108,1.0,1948.0,1. Democrat,,,
109,1.0,1948.0,1. Democrat,,,
110,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
111,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
112,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
113,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
114,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
115,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
116,1.0,1948.0,1. Democrat,,,
117,1.0,1948.0,2. Republican,,,
118,1.0,1948.0,2. Republican,,,
119,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
120,1.0,1948.0,2. Republican,,,
121,1.0,1948.0,2. Republican,,,
122,1.0,1948.0,1. Democrat,,,
123,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
124,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
125,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
126,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
127,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
128,1.0,1948.0,2. Republican,,,
129,1.0,1948.0,2. Republican,,,
130,1.0,1948.0,1. Democrat,,,
131,1.0,1948.0,1. Democrat,,,
132,1.0,1948.0,,,,
133,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
134,1.0,1948.0,2. Republican,,,
135,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
136,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
137,1.0,1948.0,2. Republican,,,
138,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
139,1.0,1948.0,2. Republican,,,
140,1.0,1948.0,2. Republican,,,
141,1.0,1948.0,1. Democrat,,,
142,1.0,1948.0,,,,
143,1.0,1948.0,1. Democrat,,,
144,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
145,1.0,1948.0,2. Republican,,,
146,1.0,1948.0,1. Democrat,,,
147,1.0,1948.0,1. Democrat,,,
148,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
149,1.0,1948.0,2. Republican,,,
150,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
151,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
152,1.0,1948.0,2. Republican,,,
153,1.0,1948.0,1. Democrat,,,
154,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
155,1.0,1948.0,1. Democrat,,,
156,1.0,1948.0,1. Democrat,,,
157,1.0,1948.0,2. Republican,,,
158,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
159,1.0,1948.0,1. Democrat,,,
160,1.0,1948.0,2. Republican,,,
161,1.0,1948.0,2. Republican,,,
162,1.0,1948.0,2. Republican,,,
163,1.0,1948.0,2. Republican,,,
164,1.0,1948.0,1. Democrat,,,
165,1.0,1948.0,1. Democrat,,,
166,1.0,1948.0,1. Democrat,,,
167,1.0,1948.0,1. Democrat,,,
168,1.0,1948.0,2. Republican,,,
169,1.0,1948.0,2. Republican,,,
170,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
171,1.0,1948.0,2. Republican,,,
172,1.0,1948.0,1. Democrat,,,
173,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
174,1.0,1948.0,1. Democrat,,,
175,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
176,1.0,1948.0,1. Democrat,,,
177,1.0,1948.0,,,,
178,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
179,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
180,1.0,1948.0,2. Republican,,,
181,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
182,1.0,1948.0,2. Republican,,,
183,1.0,1948.0,2. Republican,,,
184,1.0,1948.0,1. Democrat,,,
185,1.0,1948.0,2. Republican,,,
186,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
187,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
188,1.0,1948.0,,,,
189,1.0,1948.0,1. Democrat,,,
190,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
191,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
192,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
193,1.0,1948.0,2. Republican,,,
194,1.0,1948.0,2. Republican,,,
195,1.0,1948.0,1. Democrat,,,
196,1.0,1948.0,2. Republican,,,
197,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
198,1.0,1948.0,1. Democrat,,,
199,1.0,1948.0,2. Republican,,,
200,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
201,1.0,1948.0,4. Other (incl. 3d/minor party candidates and write-ins),,,
202,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
203,1.0,1948.0,2. Republican,,,
204,1.0,1948.0,2. Republican,,,
205,1.0,1948.0,1. Democrat,,,
206,1.0,1948.0,1. Democrat,,,
207,1.0,1948.0,2. Republican,,,
208,1.0,1948.0,1. Democrat,,,
209,1.0,1948.0,1. Democrat,,,
210,1.0,1948.0,1. Democrat,,,
211,1.0,1948.0,2. Republican,,,
212,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
213,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
214,1.0,1948.0,1. Democrat,,,
215,1.0,1948.0,,,,
216,1.0,1948.0,2. Republican,,,
217,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
218,1.0,1948.0,1. Democrat,,,
219,1.0,1948.0,1. Democrat,,,
220,1.0,1948.0,,,,
221,1.0,1948.0,2. Republican,,,
222,1.0,1948.0,1. Democrat,,,
223,1.0,1948.0,1. Democrat,,,
224,1.0,1948.0,2. Republican,,,
225,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
226,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
227,1.0,1948.0,1. Democrat,,,
228,1.0,1948.0,1. Democrat,,,
229,1.0,1948.0,1. Democrat,,,
230,1.0,1948.0,1. Democrat,,,
231,1.0,1948.0,2. Republican,,,
232,1.0,1948.0,2. Republican,,,
233,1.0,1948.0,2. Republican,,,
234,1.0,1948.0,1. Democrat,,,
235,1.0,1948.0,2. Republican,,,
236,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
237,1.0,1948.0,1. Democrat,,,
238,1.0,1948.0,1. Democrat,,,
239,1.0,1948.0,1. Democrat,,,
240,1.0,1948.0,2. Republican,,,
241,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
242,1.0,1948.0,1. Democrat,,,
243,1.0,1948.0,2. Republican,,,
244,1.0,1948.0,2. Republican,,,
245,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
246,1.0,1948.0,2. Republican,,,
247,1.0,1948.0,2. Republican,,,
248,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
249,1.0,1948.0,2. Republican,,,
250,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
251,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
252,1.0,1948.0,2. Republican,,,
253,1.0,1948.0,2. Republican,,,
254,1.0,1948.0,2. Republican,,,
255,1.0,1948.0,2. Republican,,,
256,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
257,1.0,1948.0,1. Democrat,,,
258,1.0,1948.0,1. Democrat,,,
259,1.0,1948.0,1. Democrat,,,
260,1.0,1948.0,2. Republican,,,
261,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
262,1.0,1948.0,2. Republican,,,
263,1.0,1948.0,1. Democrat,,,
264,1.0,1948.0,2. Republican,,,
265,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
266,1.0,1948.0,,,,
267,1.0,1948.0,,,,
268,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
269,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
270,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
271,1.0,1948.0,1. Democrat,,,
272,1.0,1948.0,2. Republican,,,
273,1.0,1948.0,2. Republican,,,
274,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
275,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
276,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
277,1.0,1948.0,1. Democrat,,,
278,1.0,1948.0,2. Republican,,,
279,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
280,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
281,1.0,1948.0,1. Democrat,,,
282,1.0,1948.0,1. Democrat,,,
283,1.0,1948.0,7. Did not vote or voted but not for president (exc.1972),,,
